topic_ind	topic_name	news_num	news_h_avg	tweets_num	tweets_h_avg
0	Hillary_Clinton_email_controversy	228	5.912027323628234	860564	5.943543640673782
1	Iran_nuclear_deal	406	5.542577684128946	2412264	5.5995443965961185
2	ISIS_Jihadi_John_identity_reveal	101	5.649552440290766	620121	5.872509788519083
3	Ukraine_cease_fire	84	5.353950075642958	603709	5.312169345106702
4	Egypt_free_Al_Jazeera_journalist	50	5.4635360556038215	129120	5.613965716268361
5	Keystone_XL_Pipeline_bill	55	5.709798201798201	117692	5.2944875768460395
6	CIA_Torture_Report	41	5.5490090090090085	167362	4.716939570026462
7	Obama_cybersecurity_plan	73	5.845357337697764	495576	5.778480308215313
8	DHS_funding_issue	45	5.518096788194438	104911	5.691746275569246
9	US_Cuba_relationship	235	5.8716961608311955	1213314	5.9479808357479165
10	2015_CPAC	68	5.861402037147979	289774	5.912158809104529
11	Iraq_free_ISIS_Tikrit	94	5.090966050596422	567544	5.270271045069624
12	Nigeria_Boko_Haram_terrorists	243	5.1837475425002655	954810	4.788429947720557
13	Ferguson_unrest	611	5.332389182269168	3406303	5.488637428555927
14	Hong_Kong_protest	157	5.311911256242792	559130	5.201616137827777
15	Sony_cyberattack	275	5.771320869814842	1890966	5.917130313394575
16	Bill_Cosby_sexual_assault_allegation	168	5.66290402756594	636409	5.043294440728318
17	SpaceX_rocket_landing	86	6.0422448050963125	367488	6.0821318759761915
18	Brian_Williams_fake_story	69	5.626321629678711	475319	5.1967117804079646
19	HSBC_tax_scandal	28	5.637848927572279	78053	5.775378524318653
20	David_Carr_death	36	5.89702623906706	133630	5.611387390041936
21	Patriots_Deflategate	44	5.837252696809736	268590	5.788703903957223
22	Delhi_Uber_driver_rape	36	5.369788501638371	381997	5.183320811168763
23	Superbug_spread	41	5.188100289296052	240141	5.612290444036145
24	Rudy_Giuliani_Obama_critique	50	5.881938568530871	284510	5.744145227664616
25	Oscar	241	6.213340321926154	1902567	6.194232601409955
26	Super_Bowl	211	6.061495039821158	1628441	6.240119023909231
27	Grammy	99	6.248144065075453	674595	6.22500230388644
28	Golden_Globe	79	6.303520763187439	826707	6.368891821073854
29	500_million_Powerball	79	6.402998611753818	515778	6.25118844394666
30	Thanksgiving	150	6.109283395001127	1946168	6.571327746037131
31	Black_Friday_and_Cyber_Monday	121	6.079777072528842	1511633	6.18165513048726
32	Christmas	237	6.040478386167141	2628846	6.684981199912929
33	New_Year	69	5.746320508031379	1053027	6.552481840834836
34	Apple_Watch	73	6.323465868263469	608351	6.484011773638614
35	Yosemite_historic_climb	41	6.008305202312134	107481	6.47060886068996
36	Jon_Stewart_Daily_Show	35	5.947271505376328	246313	5.7616027252471165
37	success_of_American_Sniper	155	5.429828006500545	740376	5.66535316682151
38	Ebola_virus_spread	173	5.469453893730661	888396	5.662889462658279
39	Indonesia_AirAsia_Flight_QZ8501_crash	258	5.65141178184643	1213037	5.640737166888791
40	Paris_attacks	225	5.389136579182128	1260586	5.668909508740919
41	Vanuatu_Cyclone_Pam	89	5.653127587046504	409029	5.336822248382586
42	Malaysia_Airlines_Flight_MH370_crash	58	5.7191075085324155	529421	5.768774135137286
43	Colorado_NAACP_bombing	38	5.188675847457627	345563	5.166309631952661
44	FSU_shooting	39	5.6237969151671	171822	5.639541137559978
45	Chapel_Hill_shooting	37	5.230333333333322	89304	4.678089505677438
46	Bobbi_Kristina_Brown_death	49	5.798598701794588	129493	5.78425645939336
47	Taliban_Pakistan_school_massacre	80	5.06092313894114	286289	4.911538930073821
48	American_ISIS_Hostage_Kayla_Mueller	38	5.745051690416314	74058	5.430114113430242
49	TransAsia_Airways_Flight_GE235_crash	56	5.455274034141983	220522	5.1694141915054805
50	Germanwings_Flight_9525_crash	71	5.441899619771874	341486	5.660147703701083
