topic_ind	topic_name	news_num	news_h_avg	tweets_num	tweets_h_avg
0	Hillary_Clinton_email_controversy	228	5.912027323628234	367618	5.969571530161537
1	Iran_nuclear_deal	406	5.542577684128946	1238107	5.812523241671445
2	ISIS_Jihadi_John_identity_reveal	101	5.649552440290766	310280	5.962166290773398
3	Ukraine_cease_fire	84	5.353950075642958	233999	5.414553769125666
4	Egypt_free_Al_Jazeera_journalist	50	5.4635360556038215	39845	5.832747405987115
5	Keystone_XL_Pipeline_bill	55	5.709798201798201	37041	5.456286422814621
6	CIA_Torture_Report	41	5.5490090090090085	84081	4.892545212135086
7	Obama_cybersecurity_plan	73	5.845357337697764	249609	5.855015368867044
8	DHS_funding_issue	45	5.518096788194438	66855	5.790961226164441
9	US_Cuba_relationship	235	5.8716961608311955	746329	5.986724560524681
10	2015_CPAC	68	5.861402037147979	111755	5.897798540090488
11	Iraq_free_ISIS_Tikrit	94	5.090966050596422	224805	5.6190500938694
12	Nigeria_Boko_Haram_terrorists	243	5.1837475425002655	187452	4.953918594835598
13	Ferguson_unrest	611	5.332389182269168	1616426	5.669085355440787
14	Hong_Kong_protest	157	5.311911256242792	110839	5.64052421958228
15	Sony_cyberattack	275	5.771320869814842	902546	5.994465732395323
16	Bill_Cosby_sexual_assault_allegation	168	5.66290402756594	241487	5.224992002314392
17	SpaceX_rocket_landing	86	6.0422448050963125	159027	6.146797369058444
18	Brian_Williams_fake_story	69	5.626321629678711	131549	5.299627695289772
19	HSBC_tax_scandal	28	5.637848927572279	39947	5.859145813069228
20	David_Carr_death	36	5.89702623906706	23416	5.601713382341317
21	Patriots_Deflategate	44	5.837252696809736	159463	5.864361116266151
22	Delhi_Uber_driver_rape	36	5.369788501638371	199832	5.538783904954048
23	Superbug_spread	41	5.188100289296052	159846	5.821115319039007
24	Rudy_Giuliani_Obama_critique	50	5.881938568530871	195681	5.776533849067242
25	Oscar	241	6.213340321926154	993397	6.156302989030982
26	Super_Bowl	211	6.061495039821158	947507	6.128208831388566
27	Grammy	99	6.248144065075453	380804	6.1597087210475685
28	Golden_Globe	79	6.303520763187439	413222	6.244079387006339
29	500_million_Powerball	79	6.402998611753818	246179	6.161409722556129
30	Thanksgiving	150	6.109283395001127	1402625	6.546167542695925
31	Black_Friday_and_Cyber_Monday	121	6.079777072528842	995610	6.165597928596292
32	Christmas	237	6.040478386167141	2123840	6.692436956047577
33	New_Year	69	5.746320508031379	698497	6.623733980517015
34	Apple_Watch	73	6.323465868263469	260718	6.395006736292997
35	Yosemite_historic_climb	41	6.008305202312134	23084	6.391505948541539
36	Jon_Stewart_Daily_Show	35	5.947271505376328	66622	5.630605633802824
37	success_of_American_Sniper	155	5.429828006500545	402621	5.877317891407947
38	Ebola_virus_spread	173	5.469453893730661	453159	5.7158775476612576
39	Indonesia_AirAsia_Flight_QZ8501_crash	258	5.65141178184643	454324	5.898450648541661
40	Paris_attacks	225	5.389136579182128	684566	5.756384886979656
41	Vanuatu_Cyclone_Pam	89	5.653127587046504	81207	5.765197133077151
42	Malaysia_Airlines_Flight_MH370_crash	58	5.7191075085324155	237927	5.917334063485739
43	Colorado_NAACP_bombing	38	5.188675847457627	128994	5.39119320639216
44	FSU_shooting	39	5.6237969151671	106232	5.686700097756731
45	Chapel_Hill_shooting	37	5.230333333333322	38829	4.828973770348717
46	Bobbi_Kristina_Brown_death	49	5.798598701794588	54124	5.9061216823926275
47	Taliban_Pakistan_school_massacre	80	5.06092313894114	114761	5.1398573815159
48	American_ISIS_Hostage_Kayla_Mueller	38	5.745051690416314	21529	5.368661435931382
49	TransAsia_Airways_Flight_GE235_crash	56	5.455274034141983	77302	5.402689389058325
50	Germanwings_Flight_9525_crash	71	5.441899619771874	225951	5.7841502544295915
