news_collected_time	high_freq_words
2014-11-18	"[('Uber', 20), ('attack', 15), ('Charles Manson', 13), ('Obama', 13), ('US', 13), ('Ferguson', 12), ('Bill Cosby', 11), ('Jerusalem', 10), ('synagogue', 10), ('2014', 10), ('orders', 9), ('review', 9), ('policy', 9), ('marriage', 8), ('hostage', 8), ('Chicago', 8), ('-', 8), ('Senate', 8), ('says', 7), ('license', 7), ('home', 7), ('4', 6), ('grand', 6), ('jury', 6), ('near', 6), ('crashes', 6), ('storm', 6), ('NFL', 6), ('Adrian Peterson', 6), ('``', 6), (""''"", 6), ('Missouri', 5), ('Ebola', 5), ('Kabul', 5), ('decision', 5), ('kills', 5), ('killed', 5), ('police', 5), ('gets', 5), ('Exec', 5), ('Police', 5), ('Keystone', 5), ('plane', 5), ('1', 5), ('House', 5), ('Word', 5), ('student', 5), ('Tracy Morgan', 5), ('!', 4), ('least', 4)]"
2014-11-19	"[('Man', 19), ('Obama', 19), ('Bill Cosby', 17), ('immigration', 15), (""'Sexiest"", 12), ('Missouri', 10), ('GOP', 10), ('video', 10), ('found', 10), (""Alive'"", 9), ('dead', 9), ('French', 9), ('sister', 9), ('People', 8), ('1994', 8), ('NSA', 8), ('Police', 7), ('Netflix', 7), ('special', 7), ('man', 7), ('says', 7), ('Second', 7), ('Jerusalem', 6), ('attack', 6), ('North Korea', 6), ('Alive', 6), (""n't"", 6), ('Cosby', 6), ('postpones', 6), ('comedy', 6), ('Chris Hemsworth', 6), ('-', 6), ('allegations', 6), ('US', 6), ('killing', 6), ('CNN', 6), ('rape', 6), ('Frenchman', 6), ('Islamic', 6), ('State', 6), ('say', 6), ('execution', 6), ('Thursday', 6), ('calls', 5), ('deal', 5), ('assault', 5), ('executes', 5), ('Leon Taylor', 5), ('jury', 5), ('Ferguson', 5)]"
2014-11-20	"[('Obama', 23), ('Buffalo', 14), ('Mike Nichols', 14), ('immigration', 13), ('Iran', 12), ('FSU', 12), ('Bill Cosby', 11), ('3', 11), ('White House', 10), ('dies', 10), ('nuclear', 10), ('Jim Webb', 10), ('83', 10), ('students', 10), ('5', 9), ('million', 9), ('State', 9), ('snow', 8), ('gunman', 8), ('US', 8), ('Florida', 8), ('2016', 8), ('director', 8), ('man', 7), ('plan', 7), ('Cosby', 7), ('speech', 7), ('President', 7), (""'The"", 7), ('Graduate', 7), ('near', 6), ('car', 6), ('arrest', 6), ('amid', 6), ('Republicans', 6), ('Secret Service', 6), ('marriage', 6), ('shooting', 6), ('Bono', 6), (""'Hunger"", 6), ('Games', 6), ('talks', 6), ('strollers', 6), ('sister', 5), ('arrested', 5), ('allegations', 5), ('ready', 5), ('drivers', 5), ('unionize', 5), ('University', 5)]"
2014-11-21	"[('Obama', 41), ('immigration', 20), ('Iran', 17), ('nuclear', 13), ('Ferguson', 13), ('Buffalo', 12), ('police', 10), ('killed', 10), ('FSU', 9), ('Woman', 9), ('talks', 9), ('arrested', 9), ('deal', 9), ('shooter', 9), ('shooting', 8), ('outside', 8), ('White House', 8), ('says', 8), ('US', 7), ('school', 7), ('Mexico', 7), ('1', 7), ('President', 7), ('family', 7), ('snow', 7), ('man', 7), ('Police', 6), ('gun', 6), ('Immigration', 6), ('members', 6), ('trip', 6), ('grand', 6), ('jury', 6), ('GOP', 6), ('House', 6), ('Hillary Clinton', 6), ('Window', 6), ('washer', 6), ('Benghazi', 6), ('illegal', 5), ('immigrants', 5), ('sent', 5), ('Gulf', 5), ('gunman', 5), ('speech', 5), ('3', 5), ('Florida State', 5), ('5', 5), (""'dream"", 5), ('woman', 5)]"
2014-11-22	[('Obama', 34), ('Afghanistan', 17), ('immigration', 16), ('US', 15), ('28', 14), ('Japan', 13), ('role', 12), ('bus', 11), ('Ferguson', 9), ('Report', 9), ('Kenya', 9), ('grand', 8), ('jury', 8), ('killed', 8), ('attack', 8), ('Florida', 8), ('kills', 8), ('central', 8), ('combat', 7), ('report', 7), ('washer', 7), ('Iran', 7), ('earthquake', 7), ('deputy', 7), ('shooter', 6), ('snow', 6), ('Buffalo', 6), ('Bill Cosby', 6), ('shooting', 6), ('House', 6), ('mission', 6), ('car', 6), ('plan', 6), ('quake', 6), ('hits', 6), ('Man', 6), ('Official', 5), ('police', 5), ('Israel', 5), ('military', 5), ('homes', 5), ('-', 5), ('broadens', 5), ('falls', 5), ('onto', 5), ('Window', 5), ('San', 5), ('Francisco', 5), ('Police', 5), ('Friday', 5)]
2014-11-23	[('Obama', 20), ('Iran', 15), ('Ferguson', 14), ('Marion Barry', 14), ('45', 13), ('immigration', 12), ('grand', 12), ('jury', 12), ('Afghanistan', 12), ('DC', 11), ('78', 11), ('kills', 11), ('Cleveland', 11), ('police', 10), ('shot', 10), ('Japan', 10), ('dies', 10), ('says', 10), ('gun', 9), ('decision', 9), ('Mayor', 9), ('least', 9), ('2016', 9), ('Suicide', 9), ('bomber', 9), ('volleyball', 9), ('boy', 8), ('US', 7), ('President', 7), ('flooding', 7), ('snow', 7), ('nuclear', 7), ('Dies', 7), ('fake', 6), ('-', 6), ('bus', 6), ('approves', 6), ('Buffalo', 6), ('bill', 6), ('state', 6), ('12-year-old', 6), ('match', 6), ('new', 5), ('Police', 5), ('looms', 5), ('attack', 5), ('mayor', 5), ('deadline', 5), ('win', 5), ('Decision', 5)]
2014-11-24	"[('Iran', 22), ('police', 18), ('2016', 17), ('nuclear', 16), ('talks', 16), ('Cleveland', 15), ('Ferguson', 14), ('boy', 14), ('One', 13), ('Direction', 13), ('attack', 13), ('Thanksgiving', 13), ('Afghan', 12), ('2014', 11), ('Benghazi', 11), ('Obama', 9), ('officer', 9), ('Katy Perry', 8), ('US', 8), ('shooting', 8), ('gun', 8), ('shot', 8), ('Medal', 8), ('American Music Awards', 8), ('jury', 7), ('Two', 7), ('50', 7), ('suicide', 7), ('decision', 7), ('report', 7), ('12-year-old', 7), ('volleyball', 7), ('bomb', 6), ('Iggy Azalea', 6), ('deadline', 6), ('extended', 6), ('convention', 6), ('car', 5), ('Marion Barry', 5), ('«', 5), ('win', 5), ('toll', 5), ('shine', 5), (""n't"", 5), ('Graham', 5), ('killed', 5), ('$', 5), ('expected', 5), ('Police', 5), ('Presidential', 5)]"
2014-11-25	"[('US', 18), ('Iran', 17), ('FDA', 16), ('Thanksgiving', 16), ('Ferguson', 16), ('Hong Kong', 16), ('Obama', 14), ('rules', 11), ('calorie', 10), ('France', 10), ('killed', 10), ('2', 9), ('travel', 9), ('New', 9), ('counts', 9), ('says', 9), ('jury', 9), ('least', 9), ('grand', 8), ('building', 8), ('police', 8), ('Police', 7), ('collapse', 7), ('EPA', 7), ('protest', 6), ('site', 6), ('menus', 6), ('talks', 6), ('kill', 6), ('Russia', 6), ('growth', 6), ('en', 6), ('de', 6), ('review', 6), ('Hagel', 5), (""'Star"", 5), ('Wars', 5), ('Force Awakens', 5), ('Egypt', 5), ('Talks', 5), ('court', 5), ('3.9', 5), ('Barbie', 5), ('top', 5), ('Schumer', 5), ('air', 5), ('mercury', 5), ('Arkansas', 5), ('marriage', 5), ('storm', 4)]"
2014-11-26	"[('Thanksgiving', 46), ('Hong Kong', 19), ('Obama', 18), ('Ferguson', 16), ('Police', 15), ('US', 14), ('police', 14), ('EPA', 13), ('bear', 12), ('travel', 11), ('Pakistan', 11), ('ozone', 10), ('smog', 10), ('Hiker', 10), ('snow', 9), ('standards', 8), ('turkey', 8), ('Justice', 8), ('Protesters', 7), ('Friday', 7), ('says', 7), ('attack', 7), ('shot', 7), ('Black', 6), (""n't"", 6), ('killed', 6), ('Supreme Court', 6), ('pardon', 6), ('across', 5), ('expected', 5), ('arrested', 5), ('stricter', 5), ('Stars', 5), ('travelers', 5), ('rain', 5), ('protest', 5), ('leaders', 5), ('report', 5), ('shows', 5), ('clear', 5), ('site', 5), ('arrest', 5), ('protesters', 5), ('cut', 5), ('photos', 5), ('stent', 5), ('Ginsburg', 5), ('could', 4), ('Modi', 4), ('SAARC', 4)]"
2014-11-27	[('Thanksgiving', 44), ('British', 16), ('Ferguson', 15), ('shooting', 13), ('OPEC', 12), ('leader', 11), ('Day', 11), ('attack', 10), ('PD', 10), ('dies', 9), ('Kabul', 9), ('James', 9), ('94', 9), ('Police', 8), ('embassy', 8), ('sister', 8), ('Hong Kong', 7), ('dead', 7), ('Boy', 7), ('Suicide', 7), ('death', 7), ('output', 7), ('cut', 7), ('police', 6), ('Protesters', 6), ('could', 6), ('vehicle', 6), ('Indian', 6), ('senior', 6), ('Macy', 6), ('Parade', 6), ('says', 6), ('Cleveland', 5), ('protesters', 5), ('arrested', 5), ('vaccine', 5), ('Family', 5), ('avoided', 5), ('Afghan', 5), ('-', 5), ('US', 5), ('Ebola', 5), ('student', 5), ('protest', 5), ('suicide', 5), ('killed', 5), ('5', 5), ('boy', 5), ('Iran', 5), ('nuclear', 5)]
