news_collected_time	high_freq_words
2014-11-18	[('Uber', 21), ('attack', 15), ('US', 13), ('Charles Manson', 12), ('Obama', 11), ('Jerusalem', 10), ('synagogue', 10), ('2014', 10), ('orders', 9), ('review', 9), ('policy', 9), ('Chicago', 9), ('marriage', 8), ('hostage', 8), ('Senate', 8), ('says', 7), ('license', 7), ('home', 7), ('-', 7), ('4', 6), ('crashes', 6), ('storm', 6), ('NFL', 6), ('Adrian Peterson', 6), ('Kabul', 5), ('kills', 5), ('police', 5), ('near', 5), ('gets', 5), ('Exec', 5), ('Keystone', 5), ('plane', 5), ('House', 5), ('Word', 5), ('student', 5), ('Tracy Morgan', 5), ('least', 4), ('dead', 4), ('News', 4), ('latest', 4), ('2', 4), ('Palestinians', 4), ('terrorism', 4), ('pipeline', 4), ('vote', 4), ('Police', 4), ('Midway', 4), ('1', 4), ('Democrats', 4), ('Year', 4)]
2014-11-19	"[('Obama', 19), ('Man', 18), ('immigration', 15), (""'Sexiest"", 12), ('found', 10), (""Alive'"", 9), ('GOP', 9), ('video', 9), ('dead', 9), ('sister', 9), ('People', 8), ('NSA', 8), ('French', 8), ('Missouri', 7), ('1994', 7), ('man', 7), ('Second', 7), ('Frenchman', 7), ('attack', 6), ('North Korea', 6), ('Police', 6), ('Alive', 6), ('Chris Hemsworth', 6), ('-', 6), ('US', 6), ('says', 6), ('Thursday', 6), ('White House', 6), ('Jerusalem', 5), ('calls', 5), ('Cosby', 5), ('killing', 5), ('Islamic', 5), ('State', 5), ('beheading', 5), ('say', 5), ('execution', 5), ('reform', 5), ('plan', 5), ('Secret Service', 5), ('Uber', 5), ('Natalie Morales', 5), ('Willie Geist', 5), ('deal', 4), ('UN', 4), ('international', 4), ('second', 4), ('executes', 4), ('Leon Taylor', 4), ('Palestinian', 4)]"
2014-11-20	"[('Obama', 22), ('immigration', 13), ('Buffalo', 13), ('Mike Nichols', 13), ('FSU', 12), ('3', 10), ('students', 10), ('White House', 9), ('5', 9), ('State', 9), ('dies', 9), ('Jim Webb', 9), ('snow', 8), ('gunman', 8), ('million', 8), ('US', 8), ('2016', 8), ('83', 8), ('man', 7), ('Florida', 7), ('plan', 7), ('Cosby', 7), ('speech', 7), ('President', 7), ('director', 7), ('near', 6), ('car', 6), ('amid', 6), ('Republicans', 6), ('Secret Service', 6), ('marriage', 6), ('Bono', 6), (""'Hunger"", 6), ('Games', 6), ('Graco', 6), ('strollers', 6), ('sister', 5), ('arrested', 5), ('ready', 5), ('drivers', 5), ('unionize', 5), ('shooting', 5), ('dead', 5), ('University', 5), ('bicycle', 5), ('exploratory', 5), ('committee', 5), ('Immigration', 5), (""'The"", 5), ('Graduate', 5)]"
2014-11-21	"[('Obama', 39), ('immigration', 20), ('Buffalo', 11), ('FSU', 10), ('killed', 10), ('Woman', 9), ('arrested', 9), ('outside', 8), ('shooter', 8), ('shooting', 7), ('Mexico', 7), ('White House', 7), ('President', 7), ('family', 7), ('says', 7), ('man', 7), ('police', 6), ('school', 6), ('gun', 6), ('Immigration', 6), ('1', 6), ('members', 6), ('trip', 6), ('snow', 6), ('GOP', 6), ('House', 6), ('Hillary Clinton', 6), ('Window', 6), ('washer', 6), ('Benghazi', 6), ('illegal', 5), ('immigrants', 5), ('US', 5), ('sent', 5), ('Police', 5), ('gunman', 5), ('speech', 5), ('Florida State', 5), ('5', 5), (""'dream"", 5), ('woman', 5), ('NY', 5), ('Israeli', 5), ('$', 5), ('reform', 4), ('Rampal', 4), ('Gulf', 4), ('action', 4), ('3', 4), ('students', 4)]"
2014-11-22	[('Obama', 29), ('Afghanistan', 17), ('immigration', 16), ('28', 14), ('Japan', 13), ('US', 11), ('role', 11), ('bus', 11), ('Kenya', 9), ('killed', 8), ('Report', 8), ('attack', 8), ('Florida', 8), ('kills', 8), ('central', 8), ('combat', 7), ('report', 7), ('washer', 7), ('earthquake', 7), ('deputy', 7), ('Israel', 6), ('shooter', 6), ('snow', 6), ('Buffalo', 6), ('mission', 6), ('car', 6), ('plan', 6), ('quake', 6), ('hits', 6), ('Man', 6), ('police', 5), ('shooting', 5), ('House', 5), ('homes', 5), ('broadens', 5), ('falls', 5), ('onto', 5), ('Window', 5), ('San', 5), ('Francisco', 5), ('Police', 5), ('University', 5), ('non-Muslims', 5), ('Virginia', 5), ('Help', 4), ('NYC', 4), ('calls', 4), ('action', 4), ('Newtown', 4), ('flooding', 4)]
2014-11-23	[('Obama', 18), ('Marion Barry', 15), ('45', 13), ('immigration', 12), ('DC', 12), ('Afghanistan', 12), ('78', 11), ('kills', 11), ('Cleveland', 11), ('police', 10), ('shot', 10), ('dies', 10), ('gun', 9), ('Japan', 9), ('Mayor', 9), ('least', 9), ('2016', 9), ('Suicide', 9), ('bomber', 9), ('volleyball', 9), ('boy', 8), ('US', 7), ('flooding', 7), ('snow', 7), ('Dies', 7), ('says', 7), ('fake', 6), ('-', 6), ('bus', 6), ('approves', 6), ('Former', 6), ('President', 6), ('bill', 6), ('state', 6), ('12-year-old', 6), ('match', 6), ('Police', 5), ('attack', 5), ('mayor', 5), ('Buffalo', 5), ('Benghazi', 5), ('report', 5), ('killed', 5), ('suicide', 5), ('heavy', 4), ('Officer', 4), ('UCLA', 4), ('USC', 4), ('injured', 4), ('NY', 4)]
2014-11-24	"[('2016', 17), ('police', 17), ('boy', 14), ('Cleveland', 14), ('One', 13), ('Direction', 13), ('attack', 13), ('Afghan', 12), ('2014', 11), ('Benghazi', 10), ('Obama', 9), ('officer', 8), ('gun', 8), ('Medal', 8), ('US', 7), ('Two', 7), ('50', 7), ('suicide', 7), ('shooting', 7), ('shot', 7), ('report', 7), ('12-year-old', 7), ('volleyball', 7), ('American Music Awards', 7), ('Katy Perry', 6), ('bomb', 6), ('Iggy Azalea', 6), ('convention', 6), ('car', 5), ('win', 5), ('toll', 5), ('shine', 5), ('killed', 5), ('$', 5), ('Police', 5), ('Presidential', 5), ('Freedom', 5), ('Hagel', 5), ('Americans', 4), ('want', 4), (""'new"", 4), ('smell', 4), ('Marion Barry', 4), ('least', 4), ('Boy', 4), (""n't"", 4), ('fake', 4), ('Graham', 4), ('kill', 4), ('1', 4)]"
2014-11-25	"[('FDA', 15), ('US', 15), ('Obama', 14), ('rules', 11), ('calorie', 10), ('killed', 10), ('2', 9), ('counts', 9), ('least', 9), ('New', 8), ('building', 8), ('France', 8), ('Iran', 8), ('says', 7), ('collapse', 7), ('menus', 6), ('Wars', 6), ('Egypt', 6), ('kill', 6), ('Russia', 6), ('growth', 6), ('EPA', 6), ('Hagel', 5), (""'Star"", 5), ('Force Awakens', 5), ('court', 5), ('Nigeria', 5), ('3.9', 5), ('top', 5), ('air', 5), ('Schumer', 5), ('review', 5), ('Arkansas', 5), ('marriage', 5), ('put', 4), ('30', 4), ('18', 4), ('could', 4), ('Cairo', 4), ('Syria', 4), ('White House', 4), ('bombers', 4), ('Maiduguri', 4), ('17', 4), ('Barbie', 4), (""'Frozen"", 4), ('Chuck Schumer', 4), ('mercury', 4), ('men', 4), ('Defense', 3)]"
2014-11-26	"[('EPA', 14), ('Obama', 14), ('US', 12), ('Pakistan', 12), ('bear', 11), ('ozone', 10), ('smog', 10), ('Hiker', 9), ('Justice', 9), ('standards', 8), ('says', 7), ('attack', 7), ('shot', 6), ('Supreme Court', 6), ('Ginsburg', 6), ('stricter', 5), ('Stars', 5), ('report', 5), (""n't"", 5), ('killed', 5), ('cut', 5), ('pardon', 5), ('stent', 5), ('turkey', 5), ('Modi', 4), ('SAARC', 4), ('sources', 4), ('standard', 4), ('shows', 4), (""'Dancing"", 4), ('push', 4), ('death', 4), ('tougher', 4), ('first', 4), ('police', 4), ('pollution', 4), ('took', 4), ('photos', 4), ('mauled', 4), ('photo', 4), ('video', 4), ('boy', 4), ('AP', 3), ('New', 3), ('!', 3), ('Polio', 3), ('kill', 3), ('polio', 3), ('sanctions', 3), ('Workers', 3)]"
2014-11-27	[('British', 17), ('OPEC', 13), ('shooting', 12), ('attack', 10), ('Kabul', 9), ('PD', 9), ('94', 9), ('dies', 8), ('embassy', 8), ('sister', 8), ('James', 8), ('dead', 7), ('output', 7), ('cut', 7), ('Family', 6), ('Boy', 6), ('Suicide', 6), ('vehicle', 6), ('Indian', 6), ('senior', 6), ('death', 6), ('Phillip Hughes', 5), ('could', 5), ('avoided', 5), ('Afghan', 5), ('-', 5), ('suicide', 5), ('killed', 5), ('Police', 5), ('5', 5), ('oil', 5), ('hostages', 4), ('Tamir Rice', 4), ('Cleveland', 4), ('police', 4), ('fatal', 4), ('Hughes', 4), ('bomber', 4), ('kills', 4), ('US', 4), ('car', 4), ('Dies', 4), ('North Korea', 4), ('boy', 4), ('gun', 4), ('says', 4), ('crime', 4), ('$', 4), ('Yemen', 3), ('release', 3)]
2014-11-28	"[('EU', 14), ('Turkey', 13), ('David Cameron', 12), ('Nigeria', 11), ('Wars', 11), ('mosque', 10), ('Force Awakens', 10), (""'Star"", 10), ('snow', 9), ('boys', 9), ('immigration', 9), ('Austin', 9), ('OPEC', 9), ('trailer', 9), ('police', 8), ('NY', 8), ('storm', 8), ('Pope Francis', 8), ('player', 8), ('rescued', 7), ('France', 7), ('Police', 7), ('football', 7), ('missing', 6), ('visit', 6), ('speech', 6), ('attack', 6), ('downtown', 6), ('Palestinian', 6), ('Oil', 6), ('UK', 5), ('killed', 5), ('2', 5), ('Two', 5), ('buried', 5), ('kill', 5), ('war', 5), ('dead', 5), ('Missing', 5), ('new', 5), ('Ohio State', 5), ('gunfire', 5), ('crowded', 5), ('teaser', 5), ('NFL', 5), ('PD', 4), ('James', 4), ('Mexico', 4), ('snowbank', 4), ('plow', 4)]"
