	news_collected_time	news_title
0	2014-11-18	Missouri's Nixon Declares State of Emergency Awaiting Grand Jury
1	2014-11-18	PEOPLE: Bill Cosby. Charles Manson, Solange Knowles and more!
2	2014-11-18	Ebola patient who died had received ZMapp late in his treatment
3	2014-11-18	At least 4 dead in attack in Kabul, official says
4	2014-11-18	Australia will not be at periphery of India's vision: Modi
5	2014-11-18	FBI: Violence could follow Ferguson indictment decision
6	2014-11-18	Four Killed in Palestinian Attack at Jerusalem Synagogue
7	2014-11-18	Mass murderer Charles Manson issued marriage license, may get hitched next ...
8	2014-11-18	News Guide: Texas' latest history textbook tussle
9	2014-11-18	Abdul-Rahman Kassig's parents mourn 'beloved son'
10	2014-11-18	Obama orders full review of US hostage policy
11	2014-11-18	Homeless Children in US: A parent-to-parent approach to help kids (+video)
12	2014-11-18	Alleged Bill Cosby victim has connection to Colorado
13	2014-11-18	Church of England approves women bishops
14	2014-11-18	Uber executive wants to dig into personal lives, discredit journalists who cover ...
15	2014-11-18	Suicide blast kills two at Kabul's foreign compound
16	2014-11-18	Answers to questions about the Ferguson grand jury
17	2014-11-18	Four Killed in Jerusalem Synagogue Complex
18	2014-11-18	Source: Charles Manson, fiance get marriage license
19	2014-11-18	Suicide Attack in Afghan Capital Kills 2
20	2014-11-18	Hong Kong Protesters Greet Court Officials With Indifference
21	2014-11-18	Europeans have prominent role in beheading video
22	2014-11-18	Deals Heat Up for Lawyers Like It's 1998: Business of Law
23	2014-11-18	Cupich set to become 9th archbishop of Chicago
24	2014-11-18	4 Israelis, 2 Palestinians killed in synagogue attack, Israeli police say
25	2014-11-18	Missouri Gov. Jay Nixon Declares State Of Emergency Ahead Of Grand Jury Decision
26	2014-11-18	French National Identified In Islamic State Beheading Video
27	2014-11-18	Suicide bombing near coalition base in Kabul kills 2 security officers
28	2014-11-18	Baseball notes, Nov. 17: Stanton gets record $325 million deal
29	2014-11-18	Surgeon dies of Ebola at Nebraska hospital after contracting disease in Sierra ...
30	2014-11-18	Some Barricades Cleared From HK Protest Site
31	2014-11-18	Pakistan ranks third among terror-hit countries
32	2014-11-18	Gunfight at godman Rampal's ashram in Hisar, devotees take on cops
33	2014-11-18	AP Exclusive: Charles Manson gets marriage license
34	2014-11-18	Philadephia-area Catholics excited about pontiff's visit
35	2014-11-18	India sixth worst affected country by terrorism in 2013: Report
36	2014-11-18	Hong Kong authorities clear part of Admiralty protest site
37	2014-11-18	Should Uber Fire Exec Who Suggested Investigating Reporters' Personal Lives?
38	2014-11-18	'Cruel murder': Netanyahu, Kerry denounce terror attack on Jerusalem synagogue
39	2014-11-18	Missouri Governor Activates National Guard Ahead of Ferguson Grand Jury Ruling
40	2014-11-18	Taliban Suicide Attacker Kills 4 in Kabul
41	2014-11-18	'Bill Cosby 77' Will Still Premiere on Netflix
42	2014-11-18	Uber executive suggests 'digging up dirt' on media critics: BuzzFeed
43	2014-11-18	Indian PM Modi Urges Greater Security, Economic Ties With Australia
44	2014-11-18	Study Finds Alternative to Anti-Cholesterol Drug
45	2014-11-18	Four dead in suspected Palestinian attack on Jerusalem synagogue
46	2014-11-18	Answers to questions about the Ferguson grand jury
47	2014-11-18	Charles Manson reluctantly applies for marriage license to wed girlfriend
48	2014-11-18	UPDATE 3-Truck bomb kills two in attack on foreign base in Kabul
49	2014-11-18	All 50 States Face Winter Whack; 5 Feet of Snow Forecast Near Buffalo
50	2014-11-18	Deals Heat Up for Lawyers Like It's 1998: Business of Law
51	2014-11-18	Israel: 'We will respond with a heavy hand' after synagogue attack kills 4
52	2014-11-18	Missouri governor declares state of emergency in Ferguson, St. Louis region
53	2014-11-18	Charles Manson reluctantly applies for marriage license to wed girlfriend
54	2014-11-18	Supporters of oil pipeline scramble for last vote
55	2014-11-18	Police Storm Ashram in India in Search of Guru
56	2014-11-18	Modi, Abbott agree on closer cooperation on security and trade
57	2014-11-18	Missouri governor declares state of emergency ahead of ruling on Ferguson shooting
58	2014-11-18	Keystone Vote May Be Too Late to Help Democrat Hold Senate Seat
