	tweet_created_at	tweet_text	tweet_user_screen_name
0	2017-05-08 19:23:48	"Chamath Palihapitiya says $IBM Watson ""is a joke"" on CNBC"	ForexLive
1	2017-05-08 19:25:06	. @chamath just said IBM's Watson is a joke.  😂😂😂😂	macburgh
2	2017-05-08 19:26:56	Chamath Palihapitiya tells Kelly Evans on @CNBCClosingBell that #IBM's Watson is a joke #sohn2017 $ibm	DonnaBurton
3	2017-05-08 19:30:49	RT CNBCClosingBell: Chamath Palihapitiya: IBM's Watson is a joke. $IBM #Sohn2017	EmpComLLC
4	2017-05-08 19:36:46	@chamath Good CNBC interview.  One thing. The name Watson is from IBM's first CEO, not from Sherlock Holmes.	dashofinsight
5	2017-05-08 19:31:16	"+ ""Watson is a pretty amazing invention."" - #Buffett on @SquawkCNBC  + ""Watson is a joke."" - @chamath just now  $IBM"	Courtenay_Brown
6	2017-05-08 19:43:39	"Chamath Palihapitiya says $IBM Watson ""is a joke"" on CNBC via ForexLive"	TradingintheZen
7	2017-05-08 19:50:07	@socialcapital  Hey Chamath! Ur a DUMBSHIT, eh? IBM's Watson is named after Tom Watson IBM's founder. You made a FOOL of urself nationally!	nickmaier03
8	2017-05-08 20:29:29	Ouch.  Palihapitiya: IBM's Watson is a joke https://t.co/GFP1Dgl9Pb	NickDunnCNBC
9	2017-05-08 20:44:15	megtirrell: .chamath: IBM Watson is a joke https://t.co/ONOcfb7orS	TradeWithSuper
10	2017-05-08 19:24:31	@chamath @benchmark @socialcapital Loved everything you said but Watson named after the original CEO of IBM	bev_mc
11	2017-05-08 19:28:05	Chamath Palihapitiya: IBM's Watson is a joke. $IBM #Sohn2017	CNBCClosingBell
12	2017-05-08 20:39:52	🔥chamath: IBM is not innovating cnbc: what about watson? chamath: laughter cnbc: ?? chamath: watson is... a joke. 🔥 https://t.co/EcgmEMiT21	eringriffith
13	2017-05-08 19:22:49	$IBM  Palihapitiya: Watson is a joke	lilnickysmith
14	2017-05-08 19:25:39	@chamath @CNBC Watson is named IBM CEO Thomas Watson, not Sherlock Holmes. Get a clue.	StanTheMan0000
15	2017-05-08 20:38:41	Palihapitiya: IBM's Watson is a joke https://t.co/ZuPty0SRGl https://t.co/EnimiD11hu	CNBCTradersFan
16	2017-05-08 19:23:41	"""(IBM's) Watson is a joke."" -@chamath on CNBC. 😂"	hoon
17	2017-05-08 19:47:43	#socialcapital Hey Chamath! Ur a dumbshit, eh? IBM's Watson is named after Tom Watson IBM's founder. You made a FOOL of urself nationally!!	nickmaier03
18	2017-05-08 19:26:59	.@chamath on @CNBC: 'We love the convertible bonds' of $TSLA; compares @elonmusk to Thomas Edison. On $IBM? 'Watson… https://t.co/PBwZsXEPuy	CNBCJosh
19	2017-05-08 19:28:04	@chamath IBM's Watson much smarter thn Alexa AWS y/y is a ski slope dwn whle Azure grws triple Have u red amzn's balance sheet? Its amusing	JessieLivermore
20	2017-05-08 20:43:55	.@chamath: IBM Watson is a joke https://t.co/hjLeV8U8PC	megtirrell
21	2017-05-08 19:32:20	"RT CNBC ""RT CNBCClosingBell: Chamath Palihapitiya: IBM's Watson is a joke. $IBM #Sohn2017"""	1111Tony
22	2017-05-08 20:19:42	Say What? Chamath Palihapitiya says IBM's Watson is a joke.  Finally someone said it! https://t.co/Y0NKUWIWrp #IBM #Watson	ckotsakis
23	2017-05-08 20:45:54	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/bs3OUwrJpS	CNBC
24	2017-05-08 20:47:33	"RT CNBC ""Palihapitiya: IBM's Watson is a joke #Sohn2017 https://t.co/VzsxqZuWLh"""	1111Tony
25	2017-05-08 20:49:59	Palihapitiya: IBMs Watson is a joke $IBM https://t.co/S6DviHMrfm https://t.co/ggAmBU6gTj https://t.co/4ayoT0MOV3	wlstcom
26	2017-05-08 20:55:18	"#CNBC ""IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya"" https://t.co/V6EYoqPJjX"	nakhon224
27	2017-05-08 21:20:01	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya - CNBC https://t.co/FCCnzg2GHC	pauldawalibi
28	2017-05-08 21:27:45	interesting comment from Social Capital CEO about #IBMWatson. 😀 https://t.co/w9RsrFTzK5	fanichet
29	2017-05-08 21:54:15	⭐️ #Business • IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya: Social Capital CEO Chamath…… https://t.co/8RyGJQGPmr	Tlemcen_City
30	2017-05-08 21:22:14	"Social Capital CEO Palihapitiya put IBM's on blast ""Watson 'is a joke!"" #ifyoucantsaysomethingnice #AI cc @B0RN_AI  https://t.co/Poar34q7wI"	nicholi57
31	2017-05-08 21:49:55	"What's this mean for #DigitalHealth? @chamath to @nataliawwojcik ""IBM's Watson 'is a joke'"" not at forefront of #AI… https://t.co/Wv8gDw9nbS"	Paul_Sonnier
32	2017-05-08 21:52:10	Interesting perspective: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/ct7xxvrUpz	cmatsyk
33	2017-05-08 20:50:59	IBM's Watson 'is a joke,' says Palihapitiya $IBM #Sohn2017 https://t.co/L7UiYVip8U	NataliaWWojcik
34	2017-05-08 20:47:29	New post: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/PtmBPbBxQH	KronkStock101
35	2017-05-08 21:18:51	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya - CNBC.  Eddie  https://t.co/8bJtZAeQsw	DellanEddie
36	2017-05-08 21:01:05	CNBC Top News: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya #CNBC #TopNews https://t.co/2CDj4Ad8cR	_Reality_Check_
37	2017-05-08 21:33:58	"Good... they are realizing... Tesla is the way.... ""IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya"" https://t.co/9HIM0Qpuzo"	patricioAI
38	2017-05-08 21:15:14	IBM’s Watson ‘is a joke,’ says Social Capital CEO Palihapitiya https://t.co/nKa5gJ7Yv2 https://t.co/aZCUmjAunt	ByteFunding
39	2017-05-08 22:02:46	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya - https://t.co/LM6B4f74Px	SteveMillerPA
40	2017-05-08 20:47:34	"RT CNBC ""IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/jjmK1Rb8tn"""	1111Tony
41	2017-05-08 20:53:03	$IBM $ORCL $TSLA $AMZN:  IBM’s Watson ‘is a joke,’ says Social Capital CEO Palihapitiya:  https://t.co/Ah16EGUlwz	ProTradersNews
42	2017-05-08 21:01:35	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya #Facebook #android #app go to https://t.co/NrXa2OIzfS	andrebuklaw
43	2017-05-08 21:15:45	Yikes!!!   IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/N9qWCzm7iB	LindaPullano
44	2017-05-08 21:15:59	"@chamath Thought IBM Watson was named after first IBM CEO Thomas Watson, ""not after a Sherlock Holmes character."" https://t.co/ZFFwLnSWq4"	TedatACA
45	2017-05-08 21:20:18	Give credit for awesome marketing though- IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya - CNBC #AI  https://t.co/NFYQZqdAnn	josephfdonahue
46	2017-05-08 21:39:10	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya &lt;Wow! Disagree. It has challenges, not a joke! #AI https://t.co/G9didTdeFG	tcrawford
47	2017-05-08 21:53:09	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya - CNBC. 😂🕵🏽@watsonanalytics  what say you? https://t.co/7KarG4bL29	ProcessISInc
48	2017-05-08 21:10:17	@chamath NC on your opinion of IBM Watson, but it's named after Thomas Watson, @IBM founder, not Sherlock's Watson.	splodie
49	2017-05-08 21:36:00	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/6aB2QptWMA via @CNBC #AI https://t.co/e9qeyBJfuI	BizBuzzAmerica
50	2017-05-08 21:47:39	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya: IBM's Watson 'is a joke,' says Social Capital… https://t.co/us1W2J0KWZ [fav]	overleo
51	2017-05-08 21:03:55	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/SRhEGJhch6 via @josephjett https://t.co/N4RGzZXYvX	KatNikulainen
52	2017-05-08 21:58:06	FYI @chamath Thomas J. Watson Sr. was Chairman and CEO of IBM 1914-1956. No known connection to Sherlock Holmes. #ibm #watson	tomzazueta
53	2017-05-08 22:02:27	@NataliaWWojcik Palihapitiya is so clueless he does not know Watson is named after IBM's founder. A good reporter m… https://t.co/cH8ju0K4w6	dcg1114
