	tweet_news	tweet_sentiment
0	1	1
1	1	2
2	1	1
3	1	1
4	1	3
5	1	3
6	1	1
7	1	3
8	1	3
9	1	1
10	1	3
11	1	1
12	1	3
13	1	1
14	1	3
15	1	1
16	1	2
17	1	3
18	1	3
19	1	3
20	1	1
21	1	1
22	1	3
23	1	1
24	1	1
25	1	1
26	1	1
27	1	1
28	1	2
29	1	1
30	1	3
31	1	1
32	1	2
33	1	1
34	1	1
35	1	1
36	1	1
37	1	2
38	1	1
39	1	1
40	1	1
41	1	1
42	1	1
43	1	3
44	1	3
45	1	2
46	1	3
47	1	2
48	1	3
49	1	1
50	1	1
51	1	1
52	1	3
53	1	3
54	1	1
55	1	3
56	1	1
57	1	1
58	1	2
59	1	3
60	1	1
61	1	1
62	1	3
63	1	2
64	1	1
65	1	1
66	1	3
67	1	3
68	1	1
69	1	1
70	1	3
71	1	1
72	1	1
73	1	1
74	1	1
75	1	1
76	1	1
77	1	3
78	1	1
79	1	3
80	1	3
81	1	1
82	1	2
83	1	2
84	1	2
85	1	1
86	1	1
87	1	3
88	1	1
89	1	3
90	1	1
91	1	2
92	1	2
93	1	1
94	1	3
95	1	2
96	2	1
97	1	2
98	1	1
99	1	1
100	1	2
101	1	1
102	1	2
103	1	1
104	1	3
105	1	1
106	1	3
107	1	1
108	1	1
109	1	1
110	1	1
111	1	1
112	1	1
113	1	1
114	1	3
115	1	1
116	1	1
117	1	2
118	1	1
119	1	1
120	1	1
121	1	3
122	1	1
123	1	3
124	1	1
125	1	3
126	1	2
127	1	1
128	1	3
129	1	3
130	1	3
131	1	1
132	1	3
133	1	3
134	1	3
135	1	3
136	1	3
137	1	3
138	1	1
139	1	3
140	1	3
141	1	3
142	1	3
143	1	3
144	1	3
145	1	3
146	1	3
147	1	3
148	2	1
149	1	3
150	1	1
151	1	1
152	1	3
153	1	3
154	1	2
155	1	3
156	1	3
157	1	1
158	1	1
159	1	2
160	1	3
161	1	1
162	1	3
163	1	3
164	2	1
165	1	1
166	1	1
167	1	1
168	1	2
169	1	3
170	1	1
171	1	2
172	1	1
173	1	1
174	1	2
175	1	3
176	1	3
177	1	2
178	1	3
179	1	3
180	1	3
181	1	3
182	1	3
183	1	2
184	1	1
185	1	2
186	1	3
187	1	3
188	1	1
189	1	1
190	1	3
191	1	1
192	1	1
193	1	3
194	1	1
195	1	3
196	1	1
197	1	1
198	1	3
199	1	3
200	1	1
201	1	3
202	2	2
203	1	3
204	1	3
205	1	2
206	1	3
207	1	3
208	1	1
209	1	1
210	1	3
211	1	2
212	1	1
213	1	3
214	1	3
215	1	1
216	1	1
217	1	1
218	1	3
219	1	3
220	1	3
221	1	3
222	1	2
223	1	3
224	2	2
225	1	3
226	1	2
227	1	2
228	2	1
229	1	1
230	1	3
231	1	1
232	1	3
233	1	3
234	1	1
235	1	1
236	1	2
237	1	1
238	1	3
239	1	2
240	1	2
241	1	1
242	2	2
243	1	1
244	1	1
245	1	1
246	1	1
247	1	1
248	1	1
249	1	1
250	1	3
251	1	3
252	1	3
253	1	3
254	1	2
255	1	1
256	1	1
257	1	3
