"news_native_id"	"news_collected_time"	"news_title"	"news_doc"
"30275"	"2015-03-02"	"Hillary Clinton used private email account for State Department business"	"Emails sent by Clinton from her personal account weren't archived in official government records. By Josh Gerstein. 3/2/15 11:04 PM EST. Thousands of emails Hillary Clinton generated as secretary of state were not archived as official government records ..."
"30282"	"2015-03-02"	"Hillary Clinton used personal email as Secretary of State"	"A OCT. 18, 2011, FILE PHOTO; POOL PHOTO Kevin Lamarque/AP Then-Secretary of State Hillary Clinton works from a desk inside a C-17 military plane in 2011. The presumptive Democratic presidential nominee used nothing but a personal email account ..."
"30290"	"2015-03-02"	"Hillary Clinton used private email account for State Department business"	"AP Photo. Hillary Clinton used private email account for State Department business. Emails sent by Clinton from her personal account weren't archived in official government records. By Josh Gerstein. 3/2/15 11:04 PM EST. Thousands of emails Hillary Clinton ..."
"30304"	"2015-03-03"	"Hillary Clinton's Personal Email Use May Have Violated Federal Requirements ..."	"Hillary Clinton used a personal email account exclusively while serving as secretary of state, and may have violated federal requirements, the New York Times reported late Monday. According to the Times, Clinton did not have a government email address ..."
"30310"	"2015-03-03"	"Report: Clinton only used personal e-mail at State"	"Hillary Clinton's exclusive use of a personal e-mail account to conduct government business during her four-year tenure as secretary of State may have violated federal regulations, The New York Times reported Monday night. Only official accounts are ..."
"30327"	"2015-03-03"	"Hillary Clinton's use of private email address while Secretary of State draws scrutiny"	"Feb. 24, 2015: Hillary Rodham Clinton smiles during a keynote address at the Watermark Silicon Valley Conference for Women in Santa Clara, Calif. (AP Photo/Marcio Jose Sanchez). Former Secretary of State Hillary Clinton used a personal e-mail account to ..."
"30343"	"2015-03-03"	"Hillary Clinton Used Personal Email Account at State Dept., Possibly Breaking Rules"	"WASHINGTON — Hillary Rodham Clinton exclusively used a personal email account to conduct government business as secretary of state, State Department officials said, and may have violated federal requirements that officials' correspondence be retained ..."
"30352"	"2015-03-03"	"Clinton had no official State Dept. email address"	"Hillary Clinton's career in the spotlight – Former Secretary of State Hillary Clinton, pictured in October 2012, has become one of the most powerful people in Washington. Here's a look at her life and career through the years: Hide Caption. 1 of 61. Before she ..."
"30386"	"2015-03-03"	"Clinton aide: State Department e-mails preserved"	"A spokesman for Hillary Rodham Clinton said Tuesday that while she used a personal e-mail account during her years as secretary of state, those records have been maintained pursuant to federal rules. “Both the letter and spirit of the rules permitted State ..."
"30393"	"2015-03-03"	"Hillary Clinton illegally used a private email account, reports NYTimes (+video)"	"The New York Times reported Monday that the Democratic leader broke federal record-keeping laws by conducting her official State Department business from a private email account. By Lisa Lambert, Reuters March 2, 2015. About video ads. 'Morning Joe': ..."
"30405"	"2015-03-03"	"Hillary Clinton used private e-mail for government business at State Dept."	"Hillary Rodham Clinton used a private e-mail account for her official government business when she was secretary of state and did not routinely preserve and turn over those e-mails for government records collection, the State Department said Monday."
"30417"	"2015-03-03"	"Hillary Clinton's State Department Email: What We Know About Her Use of a ..."	"Hillary Clinton used a private email account to communicate while serving as secretary of state, The New York Times revealed. Clinton's team has confirmed that she used a personal email account for government business but maintained that it works within ..."
"30455"	"2015-03-03"	"Hillary Clinton Email: What the White House Said in 2011 That May Not Look ..."	"Hillary Clinton is under fire for using a private email account during her four-year tenure at the State Department, though the White House press secretary said in 2011 that all the administration's work was being conducted on official government email ..."
"30460"	"2015-03-03"	"Clinton's Private E-Mail Use Ran Counter to Obama's Records Push"	"(Bloomberg) -- Hillary Clinton's use of a personal e-mail account while U.S. Secretary of State may not have broken the law though it exposed her to hacking and ran counter to the Obama administration's policy of preserving electronic records. Security ..."
"30475"	"2015-03-03"	"Hillary Clinton's Personal Email Use Differed from Other Top Officials"	"Hillary Clinton's use of a personal email account to send messages to her staff during her time as Secretary of State is a break from what other top officials have done, raising concerns from both Democrats and Republicans about the propriety of the practice."
"30499"	"2015-03-03"	"White House Won't Say if Hillary Clinton Broke Law by Using Personal Email at ..."	"The White House today repeatedly declined to say whether it was appropriate for Hillary Clinton to use solely her personal email account while serving as secretary of state. “Very specific guidance has been given to agencies all across the government, which ..."
"30507"	"2015-03-03"	"Hillary Clinton Supporters Defend Her Use of Private Email Account"	"Hillary Clinton 's supporters defended her use of a private email account for official business as secretary of state, while Republicans said the practice raised questions about her commitment to transparency. The State Department said Monday that Mrs."
"30539"	"2015-03-03"	"Hillary Clinton hidden emails taint Obama transparency vow, boost Benghazi probe"	"Secretary of State Hillary Rodham Clinton checks her phone after attending a U.S.-Russia meeting in Hanoi, Vietnam on July 23, 2010. The revelation that Mrs. Clinton used an off-the-books email account during her time as secretary of state has raised ..."
"30543"	"2015-03-03"	"Hillary Clinton's experience with private e-mail account not unique"	"Hillary Rodham Clinton is not the first senior government leader to conduct official business on personal e-mail, a practice that — while discouraged — apparently became widespread enough that Congress tightened rules on its use late last year. The Federal ..."
"30546"	"2015-03-03"	"Clinton's e-mail practices contrary to official guidance"	"Former secretary of state Hillary Rodham Clinton appears to have operated in violation of what the White House said Tuesday was “very specific guidance” that members of the Obama administration use government e-mail accounts to carry out official ..."
"30555"	"2015-03-03"	"Hillary Clinton's team defends her email usage during her tenure at State"	"Aides to Hillary Clinton and the State Department are defending her use of a personal email address while secretary of state, while others are raising questions about whether her actions diverged from the habits of her predecessors and whether she complied ..."
"30561"	"2015-03-03"	"Democrats, State Department defend Hillary Clinton over email flap"	"WASHINGTON (Reuters) - Democrats scrambled on Tuesday to contain the fallout for Hillary Clinton, their favored 2016 presidential candidate, after allegations she inappropriately used her personal email for work while secretary of state. The Clinton camp ..."
"30565"	"2015-03-03"	"Using Private Email, Hillary Clinton Thwarted Record Requests"	"WASHINGTON — In 2012, congressional investigators asked the State Department for a wide range of documents related to the attack on the United States diplomatic compound in Benghazi, Libya. The department eventually responded, furnishing House ..."
"30571"	"2015-03-03"	"Clinton avoids e-mail flap during EMILY's List speech"	"WASHINGTON -- Hillary Rodham Clinton urged Democratic activists Tuesday to recommit to electing more women to public office, but avoided the e-mail controversy surrounding her own likely campaign to become the nation's first female president."
"30582"	"2015-03-04"	"Hillary Clinton's use of private email not unusual, but still raises questions"	"Hillary Rodham Clinton's use of personal email accounts as secretary of State mimicked her predecessors but drew attention to her penchant for secrecy as she begins what appears to be a second presidential run. Clinton turned her personal email over to ..."
"30590"	"2015-03-04"	"Obama admin. fails to defend Hillary Clinton's email use"	"Hillary Clinton aides are pushing back hard against a New York Times report that she used Jonathan Ernst/Bloomberg Hillary Clinton aides are pushing back hard against a New York Times report that she used her personal email address while Secretary of ..."
"30607"	"2015-03-04"	"Hillary Clinton Teases Presidential Run, Avoids Email Scandal at Emily's List Gala"	"Hillary Clinton continued to tease people waiting to hear her announce a presidential run during a speech at the Emily's List 30th Anniversary Conference and Gala in Washington, D.C., Tuesday night, and steered completely clear of recent controversy over ..."
"30647"	"2015-03-04"	"Hillary Clinton's email server traced to Internet service registered to NY home"	"WASHINGTON – The computer server that transmitted and received Hillary Clinton's emails -- on a private account she used exclusively for official business when she was secretary of state -- traced back to an Internet service registered to her family's home in ..."
"30698"	"2015-03-04"	"Hillary Clinton ran own computer system for her official emails, tracing back to NY estate"	"WASHINGTON — The computer server that transmitted and received Hillary Rodham Clinton's emails — on a private account she used exclusively for official business when she was secretary of state — traced back to an Internet service registered to her ..."
"30704"	"2015-03-04"	"No entitlement reform: Hillary email scandal reveals core weakness"	"If you were one of the many, many people running the second presidential campaign of Hillary Clinton, what is one thing you absolutely, positively, double-dog, by-jiminy would not want your candidate to be doing tonight? Other than perhaps hosting an event ..."
"30709"	"2015-03-04"	"Hillary Clinton ran her own email servers as Secretary of State"	"The personal email address that Hillary Clinton used exclusively during her time as Secretary of State wasn't your typical Gmail, Hotmail, or Yahoo account. Instead, Clinton operated her own email server traced to an internet service registered to the Clinton ..."
"30716"	"2015-03-04"	"Hillary Clinton's E-Mail Woes Aren't Going Away Soon"	"Late on Monday night, The New York Times revealed that Hillary Clinton exclusively used a personal e-mail address during her time as secretary of state. Clinton's representatives defended the practice as in accordance with the law, though some archives ..."
"30722"	"2015-03-04"	"Hillary Clinton e-mail uproar: Who is the mysterious 'Eric Hoteham'?"	"Reporters have traced Hillary Clinton's computer infrastructure to 'Eric Hoteham,' who is listed in Internet registration records as the customer at the Clinton house address. By Peter Grier, Staff writer March 4, 2015. close. Then-Secretary of State Hillary ..."
"30733"	"2015-03-04"	"House committee to subpoena e-mails from Clinton's personal account"	"A House investigative committee is preparing to send out subpoenas later today to gather a deeper look into former Secretary of State Hillary Rodham Clinton's nearly-exclusive use of personal e-mails to do her official business as the government's top ..."
"30744"	"2015-03-04"	"Hillary Clinton Had Own Computer Server for Official Emails"	"The email practices of Hillary Rodham Clinton, who used a private account exclusively for official business when she was secretary of state, grew more intriguing with the disclosure Wednesday that the computer server she used traced back to her family's ..."
"30747"	"2015-03-04"	"Why did Hillary Clinton rely on 'home-brew' e-mail server?"	"Then-Secretary of State Hillary Rodham Clinton speaks at the State Department in Washington, Sept. 12, 2012. Alex Brandon/AP/File. View Caption. How extensive was Hillary Rodham Clinton's use of personal e-mail during her tenure as secretary of State?"
"30756"	"2015-03-04"	"Everything We Know About Hillary Clinton's Email"	"The new political headache afflicting Hillary Clinton is all about email. The New York Times reported Monday that the presumptive Democratic presidential candidate had exclusively used a private email account for her government business during her tenure ..."
"30763"	"2015-03-04"	"Clinton facing mounting questions over efforts to stay off gov't email system"	"New revelations regarding Hillary Clinton's use of a personal email system while secretary of state are stoking mounting questions over why she went to such lengths to keep her messages off the official government system, as the White House on Wednesday ..."
"30772"	"2015-03-04"	"House Benghazi Committee Subpoenas Clinton's Personal Emails"	"The House Select Committee on Benghazi has issued subpoenas for some of Hillary Clinton's personal emails in the wake of reports that she used a personal email account - housed on a private server in her home - to conduct official business while serving ..."
"30777"	"2015-03-04"	"House panel issues subpoenas for Clinton e-mails"	"WASHINGTON — A House investigative committee said it has records containing two different e-mail addresses used by former secretary of State Hillary Clinton. It issued subpoenas Wednesday to find out more about Clinton's use of her private e-mail system ..."
"30807"	"2015-03-04"	"Private email questions emerge as Clinton nears 2016 bid"	"WASHINGTON. Republicans are signaling that questions about Hillary Rodham Clinton's use of a private email account while she was secretary of state will follow her into her widely anticipated presidential campaign. GOP leaders, who control the ..."
"30824"	"2015-03-04"	"GOP subpoenas Hillary Clinton for emails on her server"	"The House Select Committee on Benghazi has issued subpoenas for some of Hillary Clinton's personal emails in the wake of reports that she used a personal email account - housed on a private server in her home - to conduct official business while serving ..."
"30840"	"2015-03-04"	"Membership in Clinton's Email Domain Is Remembered as a Mark of Status"	"Just before Hillary Rodham Clinton was sworn in as secretary of state in January 2009, she and her closest aides decided that she should have her own private email address as Mrs. Clinton moved away from the Blackberry address that she had used during ..."
"30848"	"2015-03-05"	"Embattled Hillary Clinton urges State Department to release emails"	"WASHINGTON (Reuters) - U.S. Democrat Hillary Clinton on Wednesday broke her silence over a budding controversy involving her use of personal email for work when she was secretary of state, saying she wanted the U.S. State Department to release them ..."
"30857"	"2015-03-05"	"Hillary Clinton asks State Dept. to release her e-mails"	"Hillary Rodham Clinton said late Wednesday she requested the State Department to disclose all of her e-mails from her tenure as the nation's top diplomat, as the revelation that she used a private e-mail address for government business loomed over her ..."
"30865"	"2015-03-05"	"Hillary Clinton Asks State Dept. to Review Emails for Public Release"	"WASHINGTON — Hillary Rodham Clinton said late Wednesday that she had asked the State Department to release tens of thousands of work-related emails that she sent from her personal email account when she was secretary of state. “I want the public to ..."
"30891"	"2015-03-05"	"Hillary Clinton: 'I Want the Public to See My Email'"	"The revelation that Hillary Clinton exclusively used a private email address during her time as secretary of state, and set up her own server linked to her home address in Chappaqua, New York left many with the impression that she really didn't want anyone ..."
"30903"	"2015-03-05"	"Hillary Clinton says she's asked State Department to make emails public"	"Hillary Clinton said late Wednesday that she had asked the State Department to make thousands of her emails available to the public, her first public response to a furor that followed the revelation that she used a private e-mail account for her correspondence ..."
"30919"	"2015-03-05"	"Hillary Clinton's Custom Email Based on Server Near Her Home"	"When Hillary Clinton received an email as secretary of state, the message landed at a server registered to her home in New York's Westchester County and physically located in the area, according to Internet registration records. That set up underscores the ..."
"30930"	"2015-03-05"	"Under Scrutiny, Hillary Clinton Asks for State Department Emails to be Released"	"Hillary Clinton addressed concerns Wednesday about her use of a personal email account during her term as secretary of state, expressing a desire to release her emails. “I want the public to see my email. I asked State to release them. They said they will ..."
"30954"	"2015-03-05"	"Hillary Clinton Responds To Email Controversy: 'I Want The Public To See My ..."	"WASHINGTON -- Hillary Clinton responded to intense scrutiny over her email practices on Wednesday, saying she has asked the State Department to make available her private email during her tenure as secretary of state. ""I want the public to see my email."
"30997"	"2015-03-05"	"Hillary Clinton Email Mystery Man: What We Know About Eric Hoteham"	"One of the biggest mysteries surrounding the discovery that Hillary Clinton used a personal email account and private server during her time as Secretary of State was the fact that the system was registered to a man that no one had ever heard of. Who was ..."
"31004"	"2015-03-05"	"Clinton used personal email – but ousted ambassador was chastised for doing the same"	"Shown here are Scott Gration, former ambassador to Kenya, left, and former Secretary of State Hillary Clinton. (Reuters/AP). While Hillary Clinton tries to deflect suggestions of wrongdoing in her use of a personal email account to conduct governmental ..."
"31010"	"2015-03-05"	"Hillary Clinton asks State to release emails: What you need to know"	"(CNN) Hillary Clinton broke her 48-hour silence over the use of her personal email account while she served as secretary of state with a late-night tweet Wednesday saying she wants ""the public to see my email."" But her response is unlikely to tamp down the ..."
"31046"	"2015-03-05"	"Clinton private email violated 'clear-cut' State Dept. rules"	"Most Read; Videos. Rahm could actually lose · Obamacare saved? Not so fast · Charles Koch, liberal crusader? The Outsider · Kathleen Matthews likely to run for Van Hollen's seat · A letter from black America · Chelsea Clinton's secret identity: 'Diane ..."
"31052"	"2015-03-05"	"Aide tied to past Clinton scandals surfaces in controversy over emails"	"A former aide to Hillary Clinton during her first lady years – who was tied to two earlier Clinton family political scandals -- has surfaced in connection to the mounting controversy over her Internet and email practices. Eric Paul Hothem, an aide in the Clinton ..."
"31060"	"2015-03-05"	"Exclusive: Internal cable from Clinton State Department office barred use of personal email"	"An internal 2011 State Department cable, obtained by Fox News, shows that then-Secretary of State Hillary Clinton's office told employees not to use personal email for security reasons -- while at the same time, Clinton conducted all government business on ..."
"31071"	"2015-03-05"	"Hillary's Email Escapade"	"Hillary Clinton has made some disingenuous statements over her political career, but none remotely compare to the tweet she issued Wednesday night: “I want the public to see my email,” she said. This requires—how to say it—a willing suspension of ..."
"31100"	"2015-03-05"	"Review of Hillary Clinton emails to take months: official"	"WASHINGTON (Reuters) - A growing controversy over Democrat Hillary Clinton's use of personal email for work while she was U.S. secretary of state could drag on for months, threatening to cloud the expected launch of her 2016 presidential campaign."
"31122"	"2015-03-05"	"Lupica: Emails show Hillary Clinton can self-inflict woes"	"Hillary Clinton's most dangerous opponent if she wants to be President might still be Ms. Clinton herself. Somehow you get the idea, whether or not you were one of the extra special people with former Secretary of State Hillary Clinton's private email address, ..."
"31126"	"2015-03-05"	"Exclusive: Internal cable from Clinton State Department office barred use of personal email"	"An internal 2011 State Department cable, obtained by Fox News, shows that then-Secretary of State Hillary Clinton's office told employees not to use personal email for security reasons -- while at the same time, Clinton conducted all government business on ..."
"31143"	"2015-03-06"	"Review of Hillary Clinton emails to take months -US official"	"Former secretary of state Hillary Clinton is seen on a giant screen as she delivers dinner remarks at EMILY's List 30th Anniversary Gala in Washington March 3, 2015. Credit: Reuters/Yuri Gripas. Related Video. Video · Hillary taps mood for equal pay ..."
"31150"	"2015-03-06"	"Hillary Clinton: 'I want the public to see my email'"	"The former secretary of state is in a controversy over using private email for work purposes. Clinton denies any wrongdoing. Hillary Clinton's potential run for president is already off to a rough start. The potential 2016 presidential candidate is in hot water ..."
